column,start,length
MIN PER DAY ENGL (GR8) SCHOOL,1583,3
MIN PER DAY ENGL (GR8) SUBREGION,1587,3
MIN PER DAY ENGL (GR8) DISTRICT,1591,3
MIN PER DAY ENGL (GR8) STATE,1595,3
MIN PER DAY SOSC (GR3) SCHOOL,1599,3
MIN PER DAY SOSC (GR3) SUBREGION,1603,3
MIN PER DAY SOSC (GR3) DISTRICT,1607,3
MIN PER DAY SOSC (GR3) STATE,1611,3
MIN PER DAY SOSC (GR6) SCHOOL,1615,3
MIN PER DAY SOSC (GR6) SUBREGION,1619,3
MIN PER DAY SOSC (GR6) DISTRICT,1623,3
MIN PER DAY SOSC (GR6) STATE,1627,3
MIN PER DAY SOSC (GR8) SCHOOL,1631,3
MIN PER DAY SOSC (GR8) SUBREGION,1635,3
MIN PER DAY SOSC (GR8) DISTRICT,1639,3
MIN PER DAY SOSC (GR8) STATE,1643,3
% WHITE TEACH - DISTRICT,1647,5
% WHITE TEACH - STATE,1653,5
% BLACK TEACH - DISTRICT,1659,5
% BLACK TEACH - STATE,1665,5
% HISPANIC TEACH - DISTRICT,1671,5
% HISPANIC TEACH - STATE,1677,5
% ASIAN TEACH - DISTRICT,1683,5
% ASIAN TEACH - STATE,1689,5
% NATIVE AMER TEACH - DISTRICT,1695,5
% NATIVE AMER TEACH - STATE,1701,5
% MALE TEACH - DISTRICT,1707,5
% MALE TEACH - STATE,1713,5
% FEMALE TEACH - DISTRICT,1719,5
% FEMALE TEACH - STATE,1725,5
TOTAL TEACH FTE COUNT- DISTRICT,1731,7
TOTAL TEACH FTE COUNT- STATE,1739,7
AVG TEACH EXP. - DISTRICT,1747,5
AVG TEACH EXP. - STATE,1753,5
AVG TEACH EXP. - DISTRICT HIGH POVERTY,1759,5
AVG TEACH EXP. - DISTRICT LOW POVERTY,1765,5
AVG TEACH EXP. - STATE HIGH POVERTY,1771,5
AVG TEACH EXP. - STATE LOW POVERTY,1777,5
AVG TEACH EXP. - ALL(DIST TYPE),1783,5
AVG TEACH EXP. - ALL(DIST SIZE),1789,5
BACH DEGREE - DISTRICT,1795,5
BACH DEGREE - STATE,1801,5
BACH DEGREE - DISTRICT HIGH POVERTY,1807,5
BACH DEGREE - DISTRICT LOW POVERTY,1813,5
BACH DEGREE - STATE HIGH POVERTY,1819,5
BACH DEGREE - STATE LOW POVERTY,1825,5
BACH DEGREE - ALL(DIST TYPE),1831,5
BACH DEGREE - ALL(DIST SIZE),1837,5
MA+ DEGREE - DISTRICT,1843,5
MA+ DEGREE - STATE,1849,5
MA+ DEGREE - DISTRICT HIGH POVERTY,1855,5
MA+ DEGREE - DISTRICT LOW POVERTY,1861,5
MA+ DEGREE - STATE HIGH POVERTY,1867,5
MA+ DEGREE - STATE LOW POVERTY,1873,5
MA+ DEGREE - ALL(DIST TYPE),1879,5
MA+ DEGREE - ALL(DIST SIZE),1885,5
PUPIL-TEACHER RATIO -ELEM DISTRICT,1891,5
PUPIL-TEACHER RATIO -ELEM STATE,1897,5
PUPIL-TEACHER RATIO -ELEM ALL(DIST TYPE),1903,5
PUPIL-TEACHER RATIO -ELEM ALL(DIST SIZE),1909,5
PUPIL-TEACHER RATIO -HS DISTRICT,1915,5
PUPIL-TEACHER RATIO -HS STATE,1921,5
PUPIL-TEACHER RATIO -HS ALL(DIST TYPE),1927,5
PUPIL-TEACHER RATIO -HS ALL(DIST SIZE),1933,5
PUPIL-CERTIFIED STAFF RATIO  DISTRICT,1939,5
PUPIL-CERTIFIED STAFF RATIO  STATE,1945,5
PUPIL-CERTIFIED STAFF RATIO  ALL(DIST TYPE),1951,5
PUPIL-CERTIFIED STAFF RATIO  ALL(DIST SIZE),1957,5
PUPIL-ADMIN RATIO DISTRICT,1963,5
PUPIL-ADMIN RATIO STATE,1969,5
PUPIL-ADMIN RATIO ALL(DIST TYPE),1975,5
PUPIL-ADMIN RATIO ALL(DIST SIZE),1981,5
AVG TEACHER SALARY DISTRICT,1987,8
AVG TEACHER SALARY STATE,1996,8
AVG TEACHER SALARY ALL(DIST TYPE),2005,8
AVG TEACHER SALARY ALL(DIST SIZE),2014,8
AVG ADMIN SALARY DISTRICT,2023,8
AVG ADMIN SALARY STATE,2032,8
AVG ADMIN SALARY ALL(DIST TYPE),2041,8
AVG ADMIN SALARY ALL(DIST SIZE),2050,8
% TCHRS WITH EMERGENCY OR PROVISIONAL CREDENTIALS(SCHOOL),2059,5
% TCHRS WITH EMERGENCY OR PROVISIONAL CREDENTIALS(SUBREG),2065,5
% TCHRS WITH EMERGENCY OR PROVISIONAL CREDENTIALS(DISTRICT),2071,5
% TCHRS WITH EMERGENCY OR PROVISIONAL CREDENTIALS(STATE),2077,5
% EMERGENCY OR PROVISIONAL CREDENTIALS (DISTRICT HIGH POVERTY),2083,5
% EMERGENCY OR PROVISIONAL CREDENTIALS (DISTRICT LOW POVERTY),2089,5
% EMERGENCY OR PROVISIONAL CREDENTIALS (STATE HIGH POVERTY),2095,5
% EMERGENCY OR PROVISIONAL CREDENTIALS (STATE LOW POVERTY),2101,5
% CLASSES NOT TAUGHT BY HIGHLY QUALIFIED TEACHERS(SCHOOL),2107,5
% CLASSES NOT TAUGHT BY HIGHLY QUALIFIED TEACHERS(SUBREG),2113,5
% CLASSES NOT TAUGHT BY HIGHLY QUALIFIED TEACHERS(DISTRICT),2119,5
% CLASSES NOT TAUGHT BY HIGHLY QUALIFIED TEACHERS(STATE),2125,5
% CLS NOT TAUGHT BY HIGHLY QUALIFIED TCHRS(DISTRICT HIGH POVERTY),2131,5
% CLS NOT TAUGHT BY HIGHLY QUALIFIED TCHRS(DISTRICT LOW POVERTY),2137,5
% CLS NOT TAUGHT BY HIGHLY QUALIFIED TCHRS(STATE HIGH POVERTY),2143,5
% CLS NOT TAUGHT BY HIGHLY QUALIFIED TCHRS(STATE LOW POVERTY),2149,5
LOCAL PROPERTY TAXES - DISTRICT DOLLAR (2005-06),2155,15
LOCAL PROPERTY TAXES - DISTRICT % (2005-06),2171,5
LOCAL PROPERTY TAXES - STATE % (2005-06),2177,5
OTHER LOCAL FUNDING - DISTRICT DOLLAR (2005-06),2183,15
OTHER LOCAL FUNDING - DISTRICT % (2005-06),2199,5
OTHER LOCAL FUNDING - STATE % (2005-06),2205,5
GENERAL STATE AID - DISTRICT DOLLAR (2005-06),2211,15
GENERAL STATE AID - DISTRICT % (2005-06),2227,5
GENERAL STATE AID - STATE % (2005-06),2233,5
OTHER STATE FUNDING - DISTRICT DOLLAR (2005-06),2239,15
OTHER STATE FUNDING - DISTRICT % (2005-06),2255,5
OTHER STATE FUNDING - STATE % (2005-06),2261,5
FEDERAL FUNDING - DISTRICT DOLLAR (2005-06),2267,15
FEDERAL FUNDING - DISTRICT % (2005-06),2283,5
FEDERAL FUNDING - STATE % (2005-06),2289,5
TOTAL REVENUE SOURCE (2005-06),2295,15
EAV PER PUPIL  DISTRICT (2004),2311,10
EAV PER PUPIL  ALL(DIST TYPE) (2004),2322,10
EAV PER PUPIL  ALL(DIST SIZE) (2004),2333,10
TOT SCHL TAX RATE PER $100  DISTRICT (2004),2344,5
TOT SCHL TAX RATE PER $100  ALL(DIST TYPE) (2004),2350,5
TOT SCHL TAX RATE PER $100  ALL(DIST SIZE) (2004),2356,5
INSTRUCT EXPEND PER PUPIL  DISTRICT (2005-06),2362,8
INSTRUCT EXPEND PER PUPIL  STATE (2005-06),2371,8
INSTRUCT EXPEND PER PUPIL  ALL(DIST TYPE) (2005-06),2380,8
INSTRUCT EXPEND PER PUPIL  ALL(DIST SIZE) (2005-06),2389,8
OPER EXPEND PP - DISTRICT (2005-06),2398,8
OPER EXPEND PP - STATE (2005-06),2407,8
OPER EXPEND PP - ALL(DIST TYPE) (2005-06),2416,8
OPER EXPEND PP - ALL(DIST SIZE) (2005-06),2425,8
INSTRUCTION  -  DOLLARS (2005-06),2434,15
INSTRUCTION  -  DISTRICT % (2005-06),2450,5
INSTRUCTION  -  STATE % (2005-06),2456,5
GENERAL ADMIN  -  DOLLARS (2005-06),2462,15
GENERAL ADMIN  -  DISTRICT % (2005-06),2478,5
GENERAL ADMIN  -  STATE % (2005-06),2484,5
SUPPORTING SERVICES  -  DOLLARS (2005-06),2490,15
SUPPORTING SERVICES  -  DISTRICT % (2005-06),2506,5
SUPPORTING SERVICES  -  STATE % (2005-06),2512,5
OTHER EXPENDITURES  -  DOLLARS (2005-06),2518,15
OTHER EXPENDITURES  -  DISTRICT % (2005-06),2534,5
OTHER EXPENDITURES  -  STATE % (2005-06),2540,5
EDUCATION FUND - DOLLARS (2005-06),2546,15
EDUCATION FUND - DISTRICT % (2005-06),2562,5
EDUCATION FUND - STATE % (2005-06),2568,5
OPERATIONS/B/M - DOLLARS (2005-06),2574,15
OPERATIONS/B/M - DISTRICT % (2005-06),2590,5
OPERATIONS/B/M - STATE % (2005-06),2596,5
TRANSPORTATION - DOLLARS (2005-06),2602,15
TRANSPORTATION - DISTRICT % (2005-06),2618,5
TRANSPORTATION - STATE % (2005-06),2624,5
BOND & INTEREST - DOLLARS (2005-06),2630,15
BOND & INTEREST - DISTRICT % (2005-06),2646,5
BOND & INTEREST - STATE % (2005-06),2652,5
RENT - DOLLARS (2005-06),2658,15
RENT - DISTRICT % (2005-06),2674,5
RENT - STATE % (2005-06),2680,5
MUNIC. RET./SOC. SECURITY - DOLLARS (2005-06),2686,15
MUNIC. RET./SOC. SECURITY - DISTRICT % (2005-06),2702,5
MUNIC. RET./SOC. SECURITY  - STATE % (2005-06),2708,5
FIRE PREV. & SAFETY- DOLLARS (2005-06),2714,15
FIRE PREV. & SAFETY - DISTRICT % (2005-06),2730,5
FIRE PREV. & SAFETY- STATE % (2005-06),2736,5
SITE & CONST./CAP. IMP. - DOLLARS (2005-06),2742,15
SITE & CONST./CAP. IMP.- DISTRICT % (2005-06),2758,5
SITE & CONST./CAP. IMP. - STATE % (2005-06),2764,5
TOTAL EXPENDITURES (2005-06),2770,15
"TOTAL SCHOOL ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (ALL)",2786,5
"TOTAL SUBREGION ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (ALL)",2792,7
"TOTAL DISTRICT ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (ALL)",2800,7
"TOTAL STATE ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (ALL)",2808,9
% OF STUDENTS NOT TAKING READING TESTS (SCHOOL) (ALL),2818,5
% OF STUDENTS NOT TAKING READING TESTS (SUBREGION) (ALL),2824,5
% OF STUDENTS NOT TAKING READING TESTS (DISTRICT) (ALL),2830,5
% OF STUDENTS NOT TAKING READING TESTS (STATE) (ALL),2836,5
% OF STUDENTS NOT TAKING MATH TESTS (SCHOOL) (ALL),2842,5
% OF STUDENTS NOT TAKING MATH TESTS (SUBREGION) (ALL),2848,5
% OF STUDENTS NOT TAKING MATH TESTS (DISTRICT) (ALL),2854,5
% OF STUDENTS NOT TAKING MATH TESTS (STATE) (ALL),2860,5
"TOTAL SCHOOL ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (MALE)",2866,5
"TOTAL SUBREGION ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (MALE)",2872,7
"TOTAL DISTRICT ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (MALE)",2880,7
"TOTAL STATE ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (MALE)",2888,9
% OF STUDENTS NOT TAKING READING TESTS (SCHOOL) (MALE),2898,5
