column,start,length
% CLS NOT TAUGHT BY HIGHLY QUALIFIED TCHRS(DISTRICT HIGH POVERTY),2155,5
% CLS NOT TAUGHT BY HIGHLY QUALIFIED TCHRS(DISTRICT LOW POVERTY),2161,5
% CLS NOT TAUGHT BY HIGHLY QUALIFIED TCHRS(STATE HIGH POVERTY),2167,5
% CLS NOT TAUGHT BY HIGHLY QUALIFIED TCHRS(STATE LOW POVERTY),2173,5
LOCAL PROPERTY TAXES - DISTRICT DOLLAR,2179,15
LOCAL PROPERTY TAXES - DISTRICT %,2195,5
LOCAL PROPERTY TAXES - STATE %,2201,5
OTHER LOCAL FUNDING - DISTRICT DOLLAR,2207,15
OTHER LOCAL FUNDING - DISTRICT %,2223,5
OTHER LOCAL FUNDING - STATE %,2229,5
GENERAL STATE AID - DISTRICT DOLLAR,2235,15
GENERAL STATE AID - DISTRICT %,2251,5
GENERAL STATE AID - STATE %,2257,5
OTHER STATE FUNDING - DISTRICT DOLLAR,2263,15
OTHER STATE FUNDING - DISTRICT %,2279,5
OTHER STATE FUNDING - STATE %,2285,5
FEDERAL FUNDING - DISTRICT DOLLAR,2291,15
FEDERAL FUNDING - DISTRICT %,2307,5
FEDERAL FUNDING - STATE %,2313,5
TOTAL REVENUE SOURCE,2319,15
EAV PER PUPIL  DISTRICT,2335,10
EAV PER PUPIL  ALL(DIST TYPE),2346,10
EAV PER PUPIL  ALL(DIST SIZE),2357,10
TOT SCHL TAX RATE PER $100  DISTRICT,2368,5
TOT SCHL TAX RATE PER $100  ALL(DIST TYPE),2374,5
TOT SCHL TAX RATE PER $100  ALL(DIST SIZE),2380,5
INSTRUCT EXPEND PER PUPIL  DISTRICT,2386,8
INSTRUCT EXPEND PER PUPIL  STATE,2395,8
INSTRUCT EXPEND PER PUPIL  ALL(DIST TYPE),2404,8
INSTRUCT EXPEND PER PUPIL  ALL(DIST SIZE),2413,8
OPER EXPEND PP - DISTRICT,2422,8
OPER EXPEND PP - STATE,2431,8
OPER EXPEND PP - ALL(DIST TYPE),2440,8
OPER EXPEND PP - ALL(DIST SIZE),2449,8
INSTRUCTION  -  DOLLARS,2458,15
INSTRUCTION  -  DISTRICT %,2474,5
INSTRUCTION  -  STATE %,2480,5
GENERAL ADMIN  -  DOLLARS,2486,15
GENERAL ADMIN  -  DISTRICT %,2502,5
GENERAL ADMIN  -  STATE %,2508,5
SUPPORTING SERVICES  -  DOLLARS,2514,15
SUPPORTING SERVICES  -  DISTRICT %,2530,5
SUPPORTING SERVICES  -  STATE %,2536,5
OTHER EXPENDITURES  -  DOLLARS,2542,15
OTHER EXPENDITURES  -  DISTRICT %,2558,5
OTHER EXPENDITURES  -  STATE %,2564,5
EDUCATION FUND - DOLLARS,2570,15
EDUCATION FUND - DISTRICT %,2586,5
EDUCATION FUND - STATE %,2592,5
OPERATIONS/B/M - DOLLARS,2598,15
OPERATIONS/B/M - DISTRICT %,2614,5
OPERATIONS/B/M - STATE %,2620,5
TRANSPORTATION - DOLLARS,2626,15
TRANSPORTATION - DISTRICT %,2642,5
TRANSPORTATION - STATE %,2648,5
DEBT SERVICE - DOLLARS,2654,15
DEBT SERVICE - DISTRICT %,2670,5
DEBT SERVICE - STATE %,2676,5
TORT - DOLLARS,2682,15
TORT - DISTRICT %,2698,5
TORT - STATE %,2704,5
MUNIC. RET./SOC. SECURITY - DOLLARS,2710,15
MUNIC. RET./SOC. SECURITY - DISTRICT %,2726,5
MUNIC. RET./SOC. SECURITY  - STATE %,2732,5
FIRE PREV. & SAFETY- DOLLARS,2738,15
FIRE PREV. & SAFETY - DISTRICT %,2754,5
FIRE PREV. & SAFETY- STATE %,2760,5
SITE & CONST./CAP. IMP. - DOLLARS,2766,15
SITE & CONST./CAP. IMP.- DISTRICT %,2782,5
SITE & CONST./CAP. IMP. - STATE %,2788,5
TOTAL EXPENDITURES,2794,15
"TOTAL SCHOOL ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",2810,5
"TOTAL SUBREGION ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",2816,7
"TOTAL DISTRICT ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",2824,7
"TOTAL STATE ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",2832,9
% OF STUDENTS NOT TAKING READING TESTS (SCHOOL),2842,5
% OF STUDENTS NOT TAKING READING TESTS (SUBREGION),2848,5
% OF STUDENTS NOT TAKING READING TESTS (DISTRICT),2854,5
% OF STUDENTS NOT TAKING READING TESTS (STATE),2860,5
% OF STUDENTS NOT TAKING MATH TESTS (SCHOOL),2866,5
% OF STUDENTS NOT TAKING MATH TESTS (SUBREGION),2872,5
% OF STUDENTS NOT TAKING MATH TESTS (DISTRICT),2878,5
% OF STUDENTS NOT TAKING MATH TESTS (STATE),2884,5
"TOTAL SCHOOL ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",2890,5
"TOTAL SUBREGION ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",2896,7
"TOTAL DISTRICT ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",2904,7
"TOTAL STATE ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",2912,9
% OF STUDENTS NOT TAKING READING TESTS (SCHOOL),2922,5
% OF STUDENTS NOT TAKING READING TESTS (SUBREGION),2928,5
% OF STUDENTS NOT TAKING READING TESTS (DISTRICT),2934,5
% OF STUDENTS NOT TAKING READING TESTS (STATE),2940,5
% OF STUDENTS NOT TAKING MATH TESTS (SCHOOL),2946,5
% OF STUDENTS NOT TAKING MATH TESTS (SUBREGION),2952,5
% OF STUDENTS NOT TAKING MATH TESTS (DISTRICT),2958,5
% OF STUDENTS NOT TAKING MATH TESTS (STATE),2964,5
"TOTAL SCHOOL ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",2970,5
"TOTAL SUBREGION ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",2976,7
"TOTAL DISTRICT ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",2984,7
"TOTAL STATE ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",2992,9
% OF STUDENTS NOT TAKING READING TESTS (SCHOOL),3002,5
% OF STUDENTS NOT TAKING READING TESTS (SUBREGION),3008,5
% OF STUDENTS NOT TAKING READING TESTS (DISTRICT),3014,5
% OF STUDENTS NOT TAKING READING TESTS (STATE),3020,5
% OF STUDENTS NOT TAKING MATH TESTS (SCHOOL),3026,5
% OF STUDENTS NOT TAKING MATH TESTS (SUBREGION),3032,5
% OF STUDENTS NOT TAKING MATH TESTS (DISTRICT),3038,5
% OF STUDENTS NOT TAKING MATH TESTS (STATE),3044,5
